Instructor,RMP_Rating,RMP_Review1,RMP_Review2,RMP_Review3
P. Chen,3.0,Most boring Lecture I've taken at Syracuse and the slides don't have much information on them. Good lucking making sense of the material in this course.,"Very nice and easy grader, clearly wants everyone to do well",
J. Pollitz,5.0,Dr. Josh is amazing! I learned amazing amounts from him! He has very high expectations but pushes you in the right way to maximize your potential! Definitely take!,"Pollitz is a great professor! Makes the material way more understandable. He has high expectations for students, sometimes too high, but balances that with very helpful lectures. I think he cares a lot about students learning and pushes you to really learn it. Show up to class and work hard! I got a lot out of the course from time in class!",
W. Wylie,4.6,Hes a really nice prof.,This guy is the only math prof at SU that can teach. He is also the only one that actually cares.,hes the best
S. Maroo,3.1,"Professor Maroo took me by surprise. I expected energy conversion to be a difficult, yet interesting class, and Professor Maroo nailed it, he made the content easy to digest by writing the class notes with us, making the notes easy to copy down. The exams and weekly quizzes were difficult, but I would still recommend him.",He had no idea how the solution of a partial differential equation is found. If you question him he will get mad at you. If you go to him during office hours he will send you back to read the textbook.,"Lectures are excellent, clearly conveys topics and writes easy to understand lecture notes. Office hours are helpful and hes generally a kind person and fairly understanding. Highly recommend."
M. Erdman,3.2,if you have to take this class then 1 thing I would suggest is study and learn the materials on your own because otherwise the lectures are a waste of time and they mostly consist of him going on tangents about unnecessary things.,"I like Erdman's classes, but his lecture slides can be a bit overwhelming. He really cares about his students but this often leads to rambling and having to play catch-up with content. The textbook is helpful but isn't necessary for passing the class. There is a good balance between homework, studying, and free time necessary for doing well.","Class is composed of H.W every other week, 4 exams, and participation. Erdman's test questions are way better than Silver's. He rambles and is behind during lectures & doesn't teach the material well, but an understanding person. You should self-learn the course once you are exposed to the material to do well. Utilize CLASS tutoring!"
J. Anderson,2.7,Lecture was hard to follow because he rambled on and on and didn't provide a powerpoint or anything. There are readings assigned for HW every class and if you don't read them you'll be lost in both lecture and recitation (recitation cold calls). Since I attended more than (i think) 90% or 85% of recitation I didn't have to take the final.,"Lecture was pointless, TA was insufferable but genuinely cared ab teaching and carried the course. No powerpoint/visual component to lecture made it difficult to take notes, grading criteria is absolutely insane and the exams were difficult because they were open response.",I feel like this class had zero structure and the TA did all the teaching. Going to lecture was completely useless and he never used a single visual in his teaching (a simple PowerPoint would've sufficed). Overall did not enjoy my time in this class and there are better humanities profs out there
Z. Gan,5.0,"I learned a lot from his lectures. He assigned a lot of homework and problem sets, which were very helpful. The Zoom recordings he provided were useful throughout the entire course. His explanations were very clear. He is a tough grader, but I would love to take his classes again.","Although I received an average grade, I learned a lot from his lectures. His explanations were very clear, and he gave many assignments and practice problems, which helped a lot. However, he is a tough grader. I would love to take his course again.","His class is hard, however, his lectures are very detailed and he explains each concept thoroughly. If you show up to his lectures, you will 100% pass. He is very nice and funny as well. There is no homework grade, however, you will be graded on quizzes that are weekly and 4 exams. He prints out notes as well, which makes it easier to follow along."
D. Carnegie,5.0,"I don't know if he is still teaching, I took him in 2013 and he was a GREAT professor, he teaches you life lessons that you won't forget, he is amazing and makes you exit that class after every lecture thinking that you are a great person and you can do great things in life, hope he is still teaching. ALL respect to this professor","Am one of those that are very shy when it comes to public speaking,D Mann gave me the courage and confident to stand and speak in public. He makes you understand that no one is perfect; that we are all here to learn. Take him, you will be glad you did!!!",
B. Dong,2.8,Brief introduction.,Useless knowledge. Inexplicable homework. Only TA helpful,1-Knowledgeable professor 2-Everyweek quiz and homework and those cause you to be prepared for exams 3-Helpful professor 4-Provide opportunities for extra scores with extra assignments 5-Good experience 6-I suggest you to get the course
V. Duenas,2.8,"Dr. Henderson likes adults entering college to be ADULTS. She is not one to hold hands and listen to excuses as teachers did in high school. Dr. Henderson wants her students to come to school and do the assignments and get what they need to get from the material. She comes off as hard, but once you do what you need, she will do anything for you.",great teacher,"She's all about essays. Tough grader, but makes you work for your grade."
"I. Shapiro
I. Shapiro",3.2,"He's no walk in the park, he's not PC, and he'll tell you point blank if your film is good or bad. But he's the founder of the program, and he's the best at making your film the best it can be. If you put in your best effort, he will be nothing but supportive. He cares about all of his students, and wants them to be successful. He's worth taking.",Funny reading the 2013 rating - I took his classes in 1979 - and he was obsessed with Goddard then too - French Marxist film making - with it's self reflexive - anti Hollywood capitalistic ya ya the program was not that difficult though. I wanted animation Owen told me I had to take his classes 1st. Then it was too late to take animation - tricked,"Owen has run the film program ever since he founded it. He is obsessed with Godard, esp. Breathless, and The Graduate. He is harsh, unforgiving, and often unhelpful. If you manage to meet the unrealistic deadlines, he makes you redo your film until it's more like Breathless or Citizen Kane. Students and professors agree that he needs to retire."
I. Shapiro,3.2,"He's no walk in the park, he's not PC, and he'll tell you point blank if your film is good or bad. But he's the founder of the program, and he's the best at making your film the best it can be. If you put in your best effort, he will be nothing but supportive. He cares about all of his students, and wants them to be successful. He's worth taking.",Funny reading the 2013 rating - I took his classes in 1979 - and he was obsessed with Goddard then too - French Marxist film making - with it's self reflexive - anti Hollywood capitalistic ya ya the program was not that difficult though. I wanted animation Owen told me I had to take his classes 1st. Then it was too late to take animation - tricked,"Owen has run the film program ever since he founded it. He is obsessed with Godard, esp. Breathless, and The Graduate. He is harsh, unforgiving, and often unhelpful. If you manage to meet the unrealistic deadlines, he makes you redo your film until it's more like Breathless or Citizen Kane. Students and professors agree that he needs to retire."
X. Liu,2.8,"Professor was fine. Personally found class really difficult but that wasn't his fault. 3 exams all online which saved me i would have failed. He's interesting just thought the content was super boring. If you have to take this class, i would choose this professor over another","Professor Liu is a great professor. He really tries to make sure the student truly understands the material and how it applies to real life. He is very willing to help, you just need to go to him first during office hours. He gives lots of extra credit and gives partial credit on problem sets on tests.",Very kind professor. Genuinely wants the best for his students but the course content is just a little difficult.
M. Sarimurat,5.0,"He's really good at explaining each lesson with clear, concrete examples. There weren't any lecture slides—everything was pretty much from the zyBook. Attendance isn't a big deal to him, so he won't nag you about showing up. I'd definitely recommend taking him.",,
Q. Qiao,3.0,This is a proffesor,Umm...couldn't understand a word she was sying.,...
L. Lao,3.0,"Mr. Gaddy is a pretty good professor. He takes a while to grade your work but overall he grades fairly and gives great feedback for essays, etc. Hes a nice and understanding professor as well.","I took Mr. Gaddy in what was obviously his first semester teaching. He was not particularly bad or good. The basic structure of the course was to do a reading each night, then come back to class the next day and discuss it. Occasionally there would be a pop quiz but all other grades come from the three essays that you have to write in class.",
"A. Benner
A. Benner",2.8,Fantastic professor.,"well, he's a great teacher teaching a boring subject. the first half was ok once you get the key to solve such kind of problems, but i couldn't help sleeping in the last 1/3 of the lectures. in addition he repeats important points while giving new material, you don't know when to ""have a rest""",his lectures make Ben Stein seem outgoing. Do not take this class unless it's a requirement or you absolutely love logic.
"J. Anderson
J. Anderson",2.0,"Professor Anderson is an alright professor. I think a lot of the reviews on this page are a little critical. While her ""lectures"" were just us watching recordings of her staring into our souls through a camera, she did provide very useful examples in class and was willing to answer questions asked in class. She was not accessible outside of class.","She wont answer any emails regarding homework assignments that arent posted, and will not teach you a singular thing in class. If you ask any questions she goes about the longest way possible to not answer that question. Than forces you to buy a $150 textbook you use 3-5 times total.","Classes are a waist of time as all the information you need to learn comes from videos and the textbook which she makes you read and watch before class. Lots of homework, labs and projects which are all strictly graded. There is a lack of effort outside the classroom as emails are rarely answered and TAs are never available."
B. Akih Kumgeh,2.8,Brief introduction.,Useless knowledge. Inexplicable homework. Only TA helpful,1-Knowledgeable professor 2-Everyweek quiz and homework and those cause you to be prepared for exams 3-Helpful professor 4-Provide opportunities for extra scores with extra assignments 5-Good experience 6-I suggest you to get the course
K. Laurent,4.3,"Collins is an absolutely incredible professor. I had him for two semesters in a row, and I am incredibly sad that I cannot take any more classes with him. Collins deeply cares about his material, and he wants you to care about it as well. He is a tough grader, but he always provides good feedback to improve for the next paper.","I'm a 4.0 high school student. Lost all interest in school. After 5 semesters of going through the motions, Collins gave me a reason to be excited for school. Nothing he teaches is easy to understand, nor is it compelling material. However, his knowledge and willingness to be personable is a strength. He will leave you WANTING to read more.",He best professor
J. Ahn,3.8,I am shocked to see good reviews of this professor. His notes are sharpie on sheets of printer paper that have no organization. I could take perfect notes but look back on them and have 0 clue what I was even looking at because it was just random problems with no description. It was extremely hard to follow along with him. Just so bad overall.,MAE 486 was the hardest class I have taken by far but Professor Ahn made it bearable. His examples in class are extremely helpful and very valuable when doing the HW. This was the second course I have taken with Dr. Ahn and I would take a third one in a heartbeat. Highly recommend this professor.,"I'm not a fan of people rating a professor poorly just because they teach a hard class. Thermodynamics was hard, but doable and Ahn made it understandable with a lot of examples."
W. Shan,5.0,"Prof. Sanders is a very caring person and solid teacher. Don't expect to learn a ton, but the class has a great deal of utility if you want it to. He does not assign much homework, and when he does, he gives ample time and if you put the effort in and trust his methods, you will be set up well.","Professor Sanders is a wonderful professor. Doesn't give much work at all and the work he did give was often able to be completed during class time. One group project and maybe 3 other assignments throughout the semester. Overall, great professor, take his classes when you can.",
M. Hasanovic,5.0,"He's really good at explaining each lesson with clear, concrete examples. There weren't any lecture slides—everything was pretty much from the zyBook. Attendance isn't a big deal to him, so he won't nag you about showing up. I'd definitely recommend taking him.",,
B. Chen,2.8,Brief introduction.,Useless knowledge. Inexplicable homework. Only TA helpful,1-Knowledgeable professor 2-Everyweek quiz and homework and those cause you to be prepared for exams 3-Helpful professor 4-Provide opportunities for extra scores with extra assignments 5-Good experience 6-I suggest you to get the course
M. Gursoy,5.0,"He's really good at explaining each lesson with clear, concrete examples. There weren't any lecture slides—everything was pretty much from the zyBook. Attendance isn't a big deal to him, so he won't nag you about showing up. I'd definitely recommend taking him.",,
Y. Radi,3.0,"Shi not that hard ngl. He says that u should read the textbook, but I didn't read a single page and I was chillin. The midterm and final was VERY fair. The study guide he gave for both HEAVILY reflects the test. HW was easy, if you use your resources. A 55% is a C and a 70% is a B-, but the 2 tests made up for 70% of your grade. HW costed hella tho",super sweet prof. if you don't understand lectures then ochem tutor vids got you. go to arc tutoring and office hours for help. do practice problems often. study the microtutorial problems. study for midterm and final. if you actually put good effort into this class you will get an A.,"One of the worst professors i've had in my two years in ucr. Class was very hard because it was mostly based on difficult exams. The average was around 50%, and he didn't curve. There were few chances to raise your grade with assignments. STAY AWAY FROM THIS PROFESSOR. With all due respect if you're happy with your mental health listen to me"
P. Ghosh,2.1,"He is extremely kind. He is extremely knowledgeable. But God he cannot teach by PowerPoint. Yet he does anyway. Text WALLS! If you want to learn, de-rail the class every minute and ask a question. You will get an amazing and intelligent reply. Do not let him lecture. Grading not harsh, but learning content from his slides will drive you crazy.","You are given 3 papers and 6 homework assignments and that's it! His grading on the homework is vague and unhelpful, you are simply give your score with minimal (if any) feedback. The grading on the paper's honestly seems to have no meaning behind it, he just slaps a grade on the paper. The lectures are EXTREMELY dry. I do not recommend.","Graded on homework assignments, 3 projects, and attendance. The homework assignments are pretty easy, but you don't get feedback, just the grade. The projects are vague. Seems to randomly assign grades for the projects. You could do well or poorly, it's pure chance. He isn't a very good lecturer. Dull and just rambles on for 80 minutes."
S. Eftekharnejad,4.0,"Dr. Eftekharnejad prepares concise slides that convey information effectively. I would say that the exams are fair and accurately represent what was taught. The final project is a little bit all over the place, requiring a power systems modeling software but then not providing much exposure to that software during the course. Good professor overall","This class takes some getting used to. Her lectures are very informative. The HW assignments are hard and somewhat long, but do your best and you should be okay. The quizzes are brutal, but they don't count for much. The exams are based on the HW, and you're allowed a cheat sheet. She's a very fair grader. Everything is curved.",
C. Isik,2.0,Professor Isik lacked any energy in his lectures and PST 451 lacked enough content to make the lectures intriguing. Your grade is comprised of essentially 2 exams and 2 papers. Overall the content in the class was very straightforward and easy to comprehend. I can't say I would recommend Professor Isik but I also can't say I wouldn't recommend him.,,
M. Fardad,5.0,"He's really good at explaining each lesson with clear, concrete examples. There weren't any lecture slides—everything was pretty much from the zyBook. Attendance isn't a big deal to him, so he won't nag you about showing up. I'd definitely recommend taking him.",,
R. Kuate Defo,1.0,"""Hurricane"" Kuate is possibly the worst professor I've ever had. He communicates in fragmented, broken, angry English. You may turn in immaculate papers with all criteria met and barely make an A despite the only feedback being something like, ""Great job!"" You'll have to take him twice if you're pursuing a biotech regulatory M.S. through UMUC, FYI.",,
P. Jha,3.8,"Dr. Dhillon was a phenomenal chemistry teacher. Lectures are informative and you don't even have to touch the book. Tests were fair and straightforward (directly from the PowerPoint notes)! Chemistry was not easy, but this woman made it a breeze and really wanted her students to succeed. Her HW solutions were great. Take her you won't regret it!","Dr. Dhillon is very motivational inspires students to accomplish their academic goals, her test are easy if you read the book and do homework, her lectures are a bit confusing but this was due to the nature of covering four chapters per week in a winter course so reading the book was essential to understanding the concepts, highly recommended.","Honestly, she is a really cool person. She graduated from Berkeley and received her PHD from Harvard. She knows what she is talking about, but she is still new to teaching. I highly suggest you to take her. She is a great teacher, but confusing. You should go over her power point and do homework problems and you will receive an A."
P. Varshney,3.8,"Dr. Dhillon was a phenomenal chemistry teacher. Lectures are informative and you don't even have to touch the book. Tests were fair and straightforward (directly from the PowerPoint notes)! Chemistry was not easy, but this woman made it a breeze and really wanted her students to succeed. Her HW solutions were great. Take her you won't regret it!","Dr. Dhillon is very motivational inspires students to accomplish their academic goals, her test are easy if you read the book and do homework, her lectures are a bit confusing but this was due to the nature of covering four chapters per week in a winter course so reading the book was essential to understanding the concepts, highly recommended.","Honestly, she is a really cool person. She graduated from Berkeley and received her PHD from Harvard. She knows what she is talking about, but she is still new to teaching. I highly suggest you to take her. She is a great teacher, but confusing. You should go over her power point and do homework problems and you will receive an A."
T. Perreault,4.1,"He is the best professor I have had at Syracuse. His class was so interesting. We got to do fun projects, and the tests were graded very leniently. Beautiful pictures on the slides that he took! Genuinely wants you to succeed. would totally recommend","Tom is the best professor I've had yet! He is so fun and truly cares about his students, and he is willing to be super flexible when you need an extension. He asked students for feedback on our exam and actually adjusted it based on what we suggested; he truly wants us to succeed!","Perreault's classes are well-structured, but test heavy. The material covered in GEO 215 is not hard, but Perreault makes his exam averages in the 70s range (not curved), so that his class average is a C. I recommend you take his courses with Coffel or Sica instead, they are just as organized and you will get a higher grade for the same class."
B. Hennigan,2.8,Brief introduction.,Useless knowledge. Inexplicable homework. Only TA helpful,1-Knowledgeable professor 2-Everyweek quiz and homework and those cause you to be prepared for exams 3-Helpful professor 4-Provide opportunities for extra scores with extra assignments 5-Good experience 6-I suggest you to get the course
J. Read,2.9,"She is amazing and great at teaching GIS. While a lot of it falls on the TAs you have, she knows what she is talking about and her passion really shows. Take a class with her! I also did 215 with her, and she was great there as well.","really nice teacher, powerpoints weren't helpful, TA wasn't helpful, was given a lot of information to study and less than half was on tests, last test given less than a week to prepare for, only graded on tests, homeworks, and attendance really.","Dr. Read is such a sweet woman, she truly does care about her students. She is very passionate about what she is teaching, so she will sometimes go off on tangents and lose track of time on her lectures, but she gives detailed study guides before the exams that make it much easier to succeed. As long as you attend lecture you're good!"
"D. Petitt
D. Petitt",5.0,"I don't know if he is still teaching, I took him in 2013 and he was a GREAT professor, he teaches you life lessons that you won't forget, he is amazing and makes you exit that class after every lecture thinking that you are a great person and you can do great things in life, hope he is still teaching. ALL respect to this professor","Am one of those that are very shy when it comes to public speaking,D Mann gave me the courage and confident to stand and speak in public. He makes you understand that no one is perfect; that we are all here to learn. Take him, you will be glad you did!!!",
T. Hammond,4.6,"Prof Hammond is genuinely my favorite professor I've had here so far. He is very understanding of personal circumstances and in my experience responds to emails fairly quickly, he always gives an optional, no-questions asked 48 hour extension on any of his unit essays, and he is an amazing lecturer. I never cared about geography, his class is great",He's awesome; great lecturer and his classes are interesting; very understanding & caring; workload 100% manageable if u put in time n effort,"He's so nice, understanding and his lectures are easy going and generally very interesting, specially coming from someone who doesn't care about GEO. The TA that I had is also super nice and sweet, they give extensions with no questions asked, they always try to understand you. Just don't abuse it. One of my favorite professors at SU so far."
M. Huber,4.1,Really nice guy but a harsh grader. Prof. Huber does not make the rubric or prompts but your writing needs to be what is expected in order to get a good grade. Grade is only reflected off five papers and participation.,"Great professor, explained things really well and changed my perspective on the topic. In my experience you don't have to do the readings but showing up to class is definitely the best way to learn.","Huber explains things well and is an overall good professor, go to class for highest rate of success, my only problem with the class was my TA who sucked"
K. Offen,4.0,"**GEO 103** I can tell that Offen really cares about the subject and he was always accessible. Lectures were very heavy and contained a bit too much information, could've been more succinct. Essays were fine, just address the prompt well and integrate readings. Quizzes and tests were not great, super specific and heavily weighted (5 pt exam MCs).","I know he has multiple GEO300s, so this is for his mapping class. Really passionate man. Some of the most interesting material I've ever had. Would be a little bit better if he explained stuff some more. A little bit of too high expectations. Good class and professor tho",
A. Mosher,2.8,Fantastic professor.,"well, he's a great teacher teaching a boring subject. the first half was ok once you get the key to solve such kind of problems, but i couldn't help sleeping in the last 1/3 of the lectures. in addition he repeats important points while giving new material, you don't know when to ""have a rest""",his lectures make Ben Stein seem outgoing. Do not take this class unless it's a requirement or you absolutely love logic.
X. Yang,5.0,"Follow his code, go to the lecture and u will be fine.",,
T. Rutherford,4.3,"Dudes a chiller. Super passionate about geography. Only big assignments are essays, but the rubric is clearly laid out and it's not hard to get As on them. You are given the questions beforehand on the midterm and final so those are pretty easy too. Go to his office hours; he's a really chill guy and likes to talk about the Habs.","Professor Rutherford is my favorite professor from my first semester at Syracuse. One of the nicest guys you'll meet and the class is heavily graded on essays, which he gives you clear and easy guidelines on what he expects. I'll be taking his GEO331 class in the spring, and recommend anyone to take a class with Professor Rutherford!","Takes attendance randomly 8 times per semester and your grade drops each time after you miss one class. EX A to an A-. He seems nice. Its writing intensive so its a bunch of essays but they're not too bad, its def one of the easier writing intensives."
F. Sultana,3.0,"Professor Sultana is knowledgeable but she didn't share much of it, anything I learned came from the materials. Very long academic readings each week with responses that were difficult to get done. Round robin was okay, I wish there had been more lecture, discussion sessions were not beneficial, I didn't think the final paper was well prepared for.","Not a very accessible professor at all. Took an extremely long time to respond to emails. Readings were abundant but didn't say that much within them. As a student extremely interested in climate change, this class greatly bored me, which was disappointing. I would not recommend.","Sultana seems plenty nice and intelligent, but I could not stand how she ran this class. Homework consisted of an absurd amount of readings. Every week 1st class was just watching boring docs and speeches. 2nd class was just going around the room and coming up with some innocuous comment about the readings followed by a painful group activity."
A. Vlasak,2.8,Fantastic professor.,"well, he's a great teacher teaching a boring subject. the first half was ok once you get the key to solve such kind of problems, but i couldn't help sleeping in the last 1/3 of the lectures. in addition he repeats important points while giving new material, you don't know when to ""have a rest""",his lectures make Ben Stein seem outgoing. Do not take this class unless it's a requirement or you absolutely love logic.
R. Wilson,4.4,Mr. Wilson was my first professor that was knowledgable of AI and what it means for writing. It's nice to actually learn about writing in the real world and with the real tools we are supposed to use in the future rather than another personal essay.,"Such a great guy. Super understanding with his students and makes an effort to interact. Attendance is important but no big deal. Easy to talk to if having a problem and really cares about your work and you. Nice and NOT condescending although insanely intelligent, he doesn't throw his knowledge in your face. It's rare to find with professors here","Dr. Joe takes the class seriously, so I hoped that he would also read my writing carefully and give good feedback. I wasn't disappointed. This class was my first in the writing major and I'm glad I started here."
A. Ortega,2.8,Fantastic professor.,"well, he's a great teacher teaching a boring subject. the first half was ok once you get the key to solve such kind of problems, but i couldn't help sleeping in the last 1/3 of the lectures. in addition he repeats important points while giving new material, you don't know when to ""have a rest""",his lectures make Ben Stein seem outgoing. Do not take this class unless it's a requirement or you absolutely love logic.
P. Gao,2.4,Professor Gao is a good professor. I see the mixed reviews on here and don't fully understand why. He has an accent but can be easily understood. His lectures are very detailed but he provides an outline of which topics you need to know before exams. The final project is in-depth but I did it the weekend before it was due (not recommended).,"I didn't think he was very hard to understand. I took this course as a freshman, he advised I shouldn't in front of the class which was disappointing. Exams are super hard and lectures have way too much detail for an intro course. Labs were great and my TA was wonderful, final project takes most of the semester to complete well. Glad to be done.","Honestly he's not amazing and not horrible. I would have no problem taking him again. He was kind of hard to understand, but overall, you could glean most of what you needed from the test reviews or slides. The lab was great and helped me a ton so maybe take him for that. Definitely, not an easy test maker, but he's good overall."
J. Robinson,1.9,"Marcia isn't understanding or straightforward. I was given clearance to miss class to go to a funeral & was told my assignment was due ""next Thursday""; it was scheduled for THAT Thursday. I didn't get an assignment briefing. It was not graded due to it being in the ""wrong format"". The content was difficult to follow especially in the lectures.",I hate to say this - but the worst professor/class I have ever taken at SU. The class is ridiculous for no reason because Prof. Robinson makes it that way. It is her way or the highway in terms of beliefs or opposing opinions and her assignments are often very subjective and make no sense. Avoid this class AT ALL COSTS.,"Each missed class is ten points off, she does not give a grade for the class until the end of the semester, and you can use the bathroom onlyif you have a medical condition. There were alot of books for this class too, and is not leniant to other people's ideas. For it being a 100 level course, extremely hard. As a person of faith, it tested me too"
L. Minkoff-Zern,3.0,"Mr. Gaddy is a pretty good professor. He takes a while to grade your work but overall he grades fairly and gives great feedback for essays, etc. Hes a nice and understanding professor as well.","I took Mr. Gaddy in what was obviously his first semester teaching. He was not particularly bad or good. The basic structure of the course was to do a reading each night, then come back to class the next day and discuss it. Occasionally there would be a pop quiz but all other grades come from the three essays that you have to write in class.",
E. Coffel,4.5,Lectures were easy to follow and not bad. The quizzes are more like exams and the homework is easy. He isn't a tough grader and is very understanding.,"Great professor! Super easy to follow in lectures. It's not the most interesting class but it fulfills the requirement and its easy to get an A if you go to the lecture and take notes. Pretty easy grader, and the exams make up most of the work",Not engaging at all but very knowlegeable
M. Mazrooie,5.0,"He's really good at explaining each lesson with clear, concrete examples. There weren't any lecture slides—everything was pretty much from the zyBook. Attendance isn't a big deal to him, so he won't nag you about showing up. I'd definitely recommend taking him.",,
C. Liu,2.8,"Professor was fine. Personally found class really difficult but that wasn't his fault. 3 exams all online which saved me i would have failed. He's interesting just thought the content was super boring. If you have to take this class, i would choose this professor over another","Professor Liu is a great professor. He really tries to make sure the student truly understands the material and how it applies to real life. He is very willing to help, you just need to go to him first during office hours. He gives lots of extra credit and gives partial credit on problem sets on tests.",Very kind professor. Genuinely wants the best for his students but the course content is just a little difficult.
M. Lorenzo,4.2,"One of the worst classes I've ever taken. Exams r now in person and impossible to do well on, he won't help unless you have below a 45. Homework is hard, time-consuming, and irrelevant the exams. His notes are impossible to follow bcs all he uses are random letters and symbols. The content is not very difficult but the way he teaches makes it hard",Attendance is technically mandatory through an online poll. You can really learn everything through the hw because you do the hw on this online textbook where they give you practice problems and learn the material. You get 3 tries per question so you should be fine. There's also weekly discussion posts. Exams are now in person but pretty short.,Super nice guy. Knows his stuff. Grades are 3 tests and HW. HW is 25% of your grade and easy which is very helpful if you don't do well on a test. Attendance isn't taken and lectures can be boring but they are helpful and not going would make the tests much more difficult. Overall not a tough class. Take it with this professor.
S. Brancato,4.3,"She listens to your questions. she does everything she can to ensure that you understand what is being taught and takes the time to help you if you don't. Her assignments are tough but she will help and answer any questions she deems appropriate. If you pay attention, ask questions, do the work and actually try it'll be an easy A.",Professor Seale taught me a great deal over the course of my class. I believe I will be a better paralegal in the future thanks to her!,
D. Laing,3.6,"Professor was kind and willing to explain any question. TAs held labs going over material a few weeks/days before exams (attend- they actually help). Biggest issues: hard to understand when professor speaks, doesn't go off textbook for lectures, lecture notes on paper, and need to read and teach yourself everything to succeed. CAN use AI on tests.","This class was such a breeze. I went to 3 lectures overall and finished with an A+. Homework was optional and our exams were what he called ""extremely open book"" so we had access to the internet. He also only put in highest 2/3 exam scores. However, although he is very easy going, his lectures are pretty difficult to understand.","The teacher doesn't post any of his lectures on Blackboard and all of his notes are written on lose leaf paper. That being said, all the exams he gives are open notes, like you can use any notes and the web to take the exams."
A. Jonelis,2.8,Fantastic professor.,"well, he's a great teacher teaching a boring subject. the first half was ok once you get the key to solve such kind of problems, but i couldn't help sleeping in the last 1/3 of the lectures. in addition he repeats important points while giving new material, you don't know when to ""have a rest""",his lectures make Ben Stein seem outgoing. Do not take this class unless it's a requirement or you absolutely love logic.
D. Solis,5.0,"I don't know if he is still teaching, I took him in 2013 and he was a GREAT professor, he teaches you life lessons that you won't forget, he is amazing and makes you exit that class after every lecture thinking that you are a great person and you can do great things in life, hope he is still teaching. ALL respect to this professor","Am one of those that are very shy when it comes to public speaking,D Mann gave me the courage and confident to stand and speak in public. He makes you understand that no one is perfect; that we are all here to learn. Take him, you will be glad you did!!!",
Y. Lin,1.0,"I did not have a good experience. The atmosphere was consistently negative, and it felt as though she thrived on making students feel inadequate.",,
"A. Jonelis
A. Jonelis",3.0,"This man is TERIBLE!!! I would never recommend this professor to my worst enemy. He is the biggest mansplainer; all he does is read the slides, then test you on stuff he's never given you. He also makes you believe you are failing the course when you truly aren't.","Classes were all lectures outside of exam review and exams. Attendance was taken through irregular in-class worksheets. His class requires you to read and take notes outside of class. If you participate in class and take the time to read the textbook/slides, you will be fine. Exams can be challenging, but he did curve all of them.",He is very negative and so is the environment in his classroom. Content is also very difficult and poorly explained. I am sure he is a lovely man outside of the classroom though.
I. O'Connor,1.9,"PROS: Gives extra credit in exams, uploads annotated slides, availability, help sessions for exams CONS: Doesn't bother to learn names, no partial credit, kinda boring, over-explains unnecessary topics/ideas (wastes class time), stops mid-sentence if he sees a cell phone, slightly discouraging towards his students","Would avoid him at all costs, terrible instructor. Makes the physics department here look like a joke. Makes you pay to do homework which he never goes over. You have been warned! Would give him 0 if possible.","You get a cheat-sheet on tests, however the tests are nothing like the problems you do in class or on the homeworks or the practice exams."
D. Dutkowsky,3.4,"Easiest class I've ever taken. Such a good professor. Provides all slides and online lecture videos. Only graded on 4 exams and 2 short assignments. Exams are very simple if you watch the lectures. Class requires minimal effort, highly recommend.",I took his online class over the summer and it wasn't that hard. 4 homework assignments 50% of your grade and 2 exams 50% of your grade. You're able to use your notes and all course materials for your exam. Watch every single lecture thoroughly (1hr & 40min) and take notes. It might be draining but you can easily get an A like this it's worth it,Prof. Dutkowski clearly loves what he teaches. He tries to make lectures fun and tries to help you understand. 4 tests and 1 from the first 3 tests gets lowest grade dropped. He doesn't take attendance but if you don't go to class you will be confused. Take lots of notes the tests are open notes! Overall the class is awesome and so is Dutkowski.
B. Kingma,2.8,Brief introduction.,Useless knowledge. Inexplicable homework. Only TA helpful,1-Knowledgeable professor 2-Everyweek quiz and homework and those cause you to be prepared for exams 3-Helpful professor 4-Provide opportunities for extra scores with extra assignments 5-Good experience 6-I suggest you to get the course
M. Ali,3.6,"This is a basic intro class, so it is what you make of it. Don't skip and pay attention in lectures because she walks through everything and has in-class assignments. She was nice and wanted students to understand and do well. She doesn't share her content with CLASS, so you can't get tutoring but if you take notes and do the work, you'll be fine.","I enjoyed her class, it was pretty easy if you showed up and paid attention to what she was saying. She has an accent but if you sit closer to the front its easier to understand her. She's kind and her tests aren't very hard. The final exam is online.","Do take micro with her if you can have another professor. The content is fairly simple and comprehensible, but her exams are worded terribly, she does not provide study guides and puts the most random things on the exams that he did not spend more than five minutes on in lecture, while excluding the main concepts."
P. Cappers,3.8,"Dr. Dhillon was a phenomenal chemistry teacher. Lectures are informative and you don't even have to touch the book. Tests were fair and straightforward (directly from the PowerPoint notes)! Chemistry was not easy, but this woman made it a breeze and really wanted her students to succeed. Her HW solutions were great. Take her you won't regret it!","Dr. Dhillon is very motivational inspires students to accomplish their academic goals, her test are easy if you read the book and do homework, her lectures are a bit confusing but this was due to the nature of covering four chapters per week in a winter course so reading the book was essential to understanding the concepts, highly recommended.","Honestly, she is a really cool person. She graduated from Berkeley and received her PHD from Harvard. She knows what she is talking about, but she is still new to teaching. I highly suggest you to take her. She is a great teacher, but confusing. You should go over her power point and do homework problems and you will receive an A."
